video_id,video_title,upload_date,video_duration_seconds,publishing_time,view_count,like_count,comment_count,title_length,view_count_class
p_PH5kD6CyM,SHALLIPOPI X COSTA TITCH TYPE BEAT,2023-12-15,76,05:48:04,4745,37,0,34,1
s9v_hMQSR8Y,DOUBLE (AFROBEATS TYPE BEAT),2022-12-16,87,09:08:05,174,5,2,28,0
a0MlTHduXkU,FOLD (AFROBEATS TYPE BEAT),2021-12-10,76,05:22:05,279,4,0,26,0
hnZNffTECms,ASA X PPRIME TYPE BEAT,2022-06-21,82,11:24:48,184,4,0,22,0
o6TgwAE2CwU,KHAID X OMAH LAY TYPE BEAT,2023-12-09,127,08:37:10,6626,68,3,26,1
e1pPfuu-GF8,REMA X SELENA GOMEZ TYPE BEAT,2023-10-06,88,04:20:22,152,5,3,29,0
7EH2ZfeUYpE,T.I BLAZE TYPE BEAT,2022-11-25,129,05:02:18,9896,101,6,19,1
yLaeUvT2Nxs,NAIRA MARLEY X MOHBAD TYPE BEAT,2021-06-18,114,12:07:38,11867,143,10,31,1
_deCvU0tCIA,KHAID X REMA TYPE BEAT,2022-05-07,97,11:32:02,12220,121,5,22,1
l2zCKhyslmg,WEIRD (AFROBEATS TYPE BEAT),2022-10-13,66,20:48:42,76,4,0,27,0
-Od-QBZbsiQ,Rema & AJ Tracey - FYN (Official Instrumental),2022-03-21,212,20:01:39,344,8,0,46,0
Hap2nYoL42Q,REXXIE X MOHBAD TYPE BEAT,2021-03-26,67,23:29:15,2069,27,2,25,1
Y6OBIPqNEZI,ALPHA P X KILLERTUNES X AFRO BROS  TYPE BEAT,2022-03-04,100,17:01:11,147,4,1,44,0
wpdrbeqkyz0,PSYCHOYP X AZANTI X JAYLON TYPE BEAT,2022-04-11,163,11:16:40,1750,42,1,36,1
yU8AD0_iIHM,CKAY X JOEBOY TYPE BEAT,2022-04-25,171,17:32:17,582,9,0,23,0
Pxuci859jOk,(OLD SCHOOL) WIZKID TYPE BEAT,2021-04-24,103,06:26:23,884,14,3,29,1
4XjMudMVhic,(SMILE) WIZKID X HER TYPE BEAT,2020-11-19,165,22:34:08,103,2,1,30,0
9AFGrT0FCJU,KWESI ARTHUR TYPE BEAT,2021-02-06,194,17:08:53,1607,13,2,22,1
jktYflUtzfg,BLAQBONEZ X DRAKE TYPE BEAT,2022-11-11,68,13:00:46,93,2,0,27,0
pAKOOOdQQy4,REMA TYPE BEAT (SPACE),2020-09-16,155,00:18:25,326,8,2,22,0
vFY4vPiyWN4,AMAARAE X TIWA SAVAGE TYPE BEAT,2022-06-21,108,09:52:16,39,1,0,31,0
-l-sEI8l6b4,SKIIBII X DAVIDO TYPE BEAT,2022-07-22,75,09:38:47,180,2,1,26,0
23_bA0L20cE,AFROSWING X AMAPIANO TYPE BEAT,2021-01-08,169,17:06:01,158,6,0,30,0
q9Jcn9xAr6g,ALIVE (AFROBEATS TYPE BEAT),2022-03-18,73,15:58:47,195,4,5,27,0
t07ZFWkZy5M,KHAID X BURNA BOY X REMA TYPE BEAT,2023-08-18,88,17:30:54,407,4,0,34,0
U0fu-Q-L0QY,TIMAYA X TEKNO TYPE BEAT,2020-10-09,141,04:15:09,247,4,1,24,0
6dYjS-Gaw4s,ALPHA (AFROBEATS TYPE BEAT),2021-10-08,88,10:30:48,190,2,2,27,0
J92iG5T7iFs,AFRO LOVE,2021-01-22,155,22:53:52,61,5,0,9,0
3vXIoLHR_KY,CKAY TYPE BEAT,2022-01-08,122,13:38:16,243,6,5,14,0
-imCqDQciqk,Love nwantiti(ah ah ah) Type Beat,2021-10-15,93,16:20:27,98,2,0,33,0
IUm41-cJr1Y,BELLA SHMURDA X SEYI VIBES TYPE BEAT,2022-03-11,86,16:01:05,219,6,2,36,0
S-tXP013YQg,WIZKID X BUJU TYPE BEAT,2022-03-25,116,15:31:23,120,1,0,23,0
4ZU9CbF6Ukc,TEMS X GOODGIRLLA X TERRI TYPE BEAT,2021-01-29,133,23:09:18,88,3,0,35,0
_wGFzwLTzTU,BNXN X SHAYO DAVIDS TYPE BEAT,2023-02-24,138,08:39:27,116,2,1,29,0
ZZorpErs_O8,ANGELIQUE KIDJO X BURNA BOY TYPE BEAT,2022-09-09,88,06:06:00,256,3,3,37,0
QgLh3Qni160,FREE AFROBEATS TYPE BEAT,2022-06-02,149,23:47:14,73,1,1,24,0
70fAJhBK_Cw,TI BLAZE X FAVE TYPE BEAT,2023-03-31,78,06:53:47,1069,10,0,25,1
YryKgeWYL8c,OMAH LAY X VICTONY TYPE BEAT,2022-10-06,92,20:07:37,158,3,0,28,0
82Yy_U5RDoc,ALPHA P X REMA TYPE BEAT,2022-03-04,151,17:02:27,102,1,0,24,0
XCtK0TobnPE,BUJU X WANDE COAL TYPE BEAT,2022-08-26,130,06:00:10,144,3,0,27,0
6b3Scti8eO8,HOW TO MAKE AN AFROBEAT WITH FL STUDIO,2017-06-12,344,23:35:04,92,3,0,38,0
ORz3h97rAhs,MAYORKUN X VICTONY TYPE BEAT,2021-11-26,80,15:18:48,345,5,1,28,0
4x0kWUToMkg,ASAKE X SEYI VIBEZ TYPE BEAT,2023-01-27,82,07:48:28,336,10,1,28,0
cPDryTrQXWg,My Video,2017-08-15,381,00:20:16,17,0,0,8,0
tHYq8cS9mfk,ASAKE X OLAMIDE TYPE BEAT,2023-09-16,131,14:24:33,213,5,0,25,0
yEIUMKfrU3U,MIOPIA (AFROBEATS TYPE BEAT),2023-02-18,175,21:26:56,89,2,0,28,0
lpAdX-dh7Q4,HACK (AFROBEATS TYPE BEAT),2022-04-08,99,08:00:35,132,1,2,26,0
h9RJ7S4Of-4,WIZKID X ZLATAN TYPE BEAT,2023-12-23,76,20:32:58,525,6,0,25,0
AsmehpfpH2k,(SUMMER LOVIN) OMAH LAY TYPE BEAT,2020-11-27,156,22:48:54,60,0,1,33,0
wIT7vDM08zY,SHALLIPOPI TYPE BEAT,2023-07-22,145,09:24:44,5106,52,3,20,1
SWwU_tx-A-4,DAVIDO X FIREBOY TYPE BEAT,2021-08-21,159,05:49:46,71,2,0,26,0
YR7Qut9Zrvw,OLAMIDE TYPE BEAT,2021-08-06,174,13:17:36,378,3,0,17,0
LHN_juykpbM,OMAH LAY TYPE BEAT (STANDARD),2021-09-02,97,20:14:29,407,4,2,29,0
aWV0HUrimAA,KHAID TYPE BEAT,2022-05-05,122,14:08:53,217,3,0,15,0
-K6VpcxShto,BURNA BOY X SATAN DAVE TYPE BEAT,2022-07-15,68,15:08:15,182,6,0,32,0
J_PRdLwQiiE,CHINA (AFROBEATS TYPE BEAT),2021-07-24,103,06:59:28,160,5,3,27,0
x06Kd0tUG_c,ODUMODUBLAVCK X ZLATAN TYPE BEAT,2022-12-30,109,07:27:45,69,4,0,32,0
Fmk64yyh0vY,BELLA SHMURDA TYPE BEAT,2021-11-06,107,09:19:19,3872,47,2,23,1
kQNy1RP_FDs,REEKADO BANKS TYPE BEAT (ZUMBA),2021-12-24,78,16:36:53,127,1,0,31,0
e5t_lBMEh3I,TRIBUTE TO MOHBAD INSTRUMENTAL,2023-09-21,65,17:44:33,138,3,2,30,0
yW1X7yqXW20,BURNA BOY X FIREBOY TYPE BEAT,2021-10-29,111,19:51:15,106,1,1,29,0
3j0aKe8mb-U,LIL KESH X NAIRA MARLEY TYPE BEAT,2022-04-19,100,10:05:12,221,5,0,33,0
drF-WX7tQ_A,KING PROMISE X OMAH LAY TYPE BEAT,2023-07-15,123,22:11:17,154,2,0,33,0
VRYcVbSFdCU,CRUISE (AFROBEATS TYPE BEAT),2022-04-01,100,11:27:59,358,4,0,28,0
24V1pjN3Igo,BUJU X WIZKID TYPE BEAT,2022-06-24,86,01:51:55,51,3,0,23,0
s8twRQuro1A,SHALLIPOPI X ASAKE TYPE BEAT,2023-11-17,97,08:02:45,256,6,2,28,0
NkYQD1sudA4,KIZZ DANIEL X KHAID TYPE BEAT,2022-05-28,169,23:49:25,174,2,2,29,0
2eEpRjYs4Vg,VICTONY X JOEBOY TYPE BEAT,2022-07-02,92,15:05:19,106,11,1,26,0
